Date	TempF_Max	TempF_Avg	TempF_Min	DewPointF_Max	DewPointF_Avg	DewPointF_Min	Humidity_Max	Humidity_Avg	Humidity_Min	WindSpeedMPH_Max	WindSpeedMPH_Avg	WindSpeedMPH_Min	PressureIN_Max	PressureIN_Avg	PressureIN_Min	PrecipitationIN_Total
4/1/21	49	41.9	33	43	31	17	93	67.5	42	30	17	5	29.9	29.7	29.6	0.88
4/2/21	45	36.8	29	18	13.5	10	56	40	26	23	15.4	9	30	29.9	29.9	0
4/3/21	56	41.5	25	21	16.5	13	75	40.2	20	13	4.8	0	30.1	30	29.9	0
4/4/21	72	55.8	35	34	28	22	70	38.1	19	17	8.3	0	29.9	29.8	29.6	0
4/5/21	73	58.7	38	39	31.9	26	76	39.5	22	10	6.1	0	29.8	29.7	29.6	0
4/6/21	77	61.6	46	48	41.3	33	79	51	29	8	2.3	0	29.7	29.6	29.6	0
4/7/21	83	65.9	48	51	46.6	42	83	52.9	29	13	4	0	29.7	29.6	29.6	0
4/8/21	72	62.9	56	46	40.7	29	62	44.8	31	14	8.2	0	29.7	29.7	29.6	0
4/9/21	60	56.3	52	56	53.1	46	100	89.1	69	9	5.3	0	29.8	29.7	29.7	0.41
4/10/21	69	59.6	54	58	55.1	53	97	85.7	65	10	5.4	0	29.7	29.6	29.4	0.07
4/11/21	79	66.1	60	60	56.1	44	97	74	29	14	9.1	5	29.4	29.2	29.1	0.27
4/12/21	63	57.6	50	53	50.6	48	94	78.5	60	13	5.6	0	29.6	29.4	29.3	0.01
4/13/21	67	55.4	49	50	48.1	47	93	77.8	51	12	4.1	0	29.8	29.7	29.6	0.06
4/14/21	60	55.5	48	56	52.3	46	97	89.4	69	8	3.7	0	29.8	29.7	29.5	0
4/15/21	63	55.2	46	54	43.7	28	100	69.3	39	22	11.1	0	29.5	29.5	29.4	0.42
4/16/21	58	49.1	36	36	33	28	82	55.2	40	24	11.3	0	29.5	29.5	29.4	0
4/17/21	59	51.8	39	39	37.1	34	86	58.4	44	12	7.1	3	29.6	29.5	29.5	0
4/18/21	64	54	43	44	38.6	35	82	58.4	35	9	5.2	0	29.6	29.6	29.5	0
4/19/21	64	54.7	48	48	44.5	43	86	70	46	12	5.2	0	29.6	29.5	29.5	0
4/20/21	75	62.6	46	47	41.5	36	93	52.1	25	20	10.5	5	29.6	29.6	29.5	0
4/21/21	63	52.9	39	47	33.6	20	62	48.6	36	28	17.6	9	29.6	29.5	29.3	0
4/22/21	51	43.1	31	25	21.3	19	72	43.6	28	22	11.6	3	29.8	29.7	29.6	0
4/23/21	65	49	33	34	28.5	26	78	49.5	26	14	6.9	0	29.8	29.8	29.7	0
4/24/21	63	50.7	35	48	38	30	93	67.7	29	10	2.8	0	29.8	29.6	29.5	0
4/25/21	66	54.4	49	48	46.1	40	97	76.1	45	21	9.7	0	29.6	29.5	29.4	0.71
4/26/21	69	54.5	41	40	30.7	23	77	44.1	22	16	9.4	0	29.8	29.8	29.6	0
4/27/21	85	66	43	54	46.8	37	86	54	31	14	6.1	0	29.8	29.6	29.6	0
4/28/21	87	75.8	59	61	56.7	54	87	54.4	33	10	5.6	0	29.6	29.6	29.5	0
4/29/21	82	74.2	65	65	62.1	56	90	67.4	45	16	7.1	0	29.5	29.4	29.2	0.01
4/30/21	71	61.4	51	59	40.9	25	76	49.4	26	33	23.2	14	29.6	29.4	29.3	0.04
5/1/21	69	56.4	46	34	25.5	21	47	31.5	20	26	12.7	5	29.8	29.6	29.6	0.01
5/2/21	85	69.3	53	49	43.1	34	55	40.2	27	18	10.7	6	29.6	29.5	29.4	0
5/3/21	74	69.4	63	66	60.1	51	90	72.8	51	15	8.4	3	29.6	29.4	29.3	0.05
5/4/21	82	70.2	65	67	64.3	62	97	83.4	52	23	6.8	0	29.5	29.4	29.4	0.06
5/5/21	76	65.3	55	66	59.8	41	100	84	51	24	6.3	0	29.6	29.4	29.3	0.51
5/6/21	64	55.3	45	44	37.7	34	86	53.3	37	16	7.3	0	29.8	29.7	29.6	0.17
5/7/21	62	51.3	42	49	45.2	40	93	81	50	10	4.4	0	29.6	29.6	29.5	0
5/8/21	60	50.4	39	43	38.5	32	96	67.3	39	21	9	0	29.8	29.6	29.5	0.22
5/9/21	68	56.2	40	53	42.4	35	89	61.9	39	14	6.9	0	29.8	29.6	29.4	0.01
5/10/21	69	58.7	47	53	41.8	34	75	54.8	37	20	12.1	5	29.7	29.6	29.4	0
5/11/21	67	58	47	42	37.9	28	77	49.1	34	15	6.7	0	29.9	29.8	29.7	0
5/12/21	66	54.7	45	40	33.8	25	76	46.7	33	16	7	0	30	29.9	29.9	0
5/13/21	70	57.8	44	39	34.2	29	76	45.6	24	13	5.4	0	30	29.9	29.9	0
5/14/21	73	57.8	40	41	38	34	93	53.8	25	9	3.5	0	29.9	29.9	29.9	0
5/15/21	76	61.1	40	43	38.6	31	97	50.6	20	7	2.6	0	29.9	29.9	29.9	0
5/16/21	70	58.6	46	54	46.9	41	86	66.5	39	13	5.3	0	29.9	29.9	29.9	0
5/17/21	74	61.6	46	52	48.7	44	97	65.9	38	8	2.9	0	30	30	29.9	0.01
5/18/21	79	65.1	47	52	47.9	45	93	58.2	31	9	4.4	0	30.1	30	29.9	0
5/19/21	84	69.9	53	57	50.6	48	83	53.8	29	7	2.5	0	30.1	30	30	0
5/20/21	88	71.5	53	57	50.7	39	89	52.5	28	15	4.2	0	30.2	30.1	30	0
5/21/21	83	69.3	52	53	48.8	43	83	51.1	34	8	4.8	0	30.2	30.1	30.1	0
5/22/21	88	74.5	55	58	55.2	51	86	53.8	35	16	6.7	0	30.1	29.9	29.8	0
5/23/21	91	80.5	65	63	59.5	55	78	50.4	35	16	8.5	0	29.8	29.7	29.6	0
5/24/21	77	64.7	59	64	58.9	55	93	82.3	62	10	6.6	0	30	29.9	29.7	0.02
5/25/21	80	67	57	66	59.2	54	90	77.1	60	10	6	3	30	29.9	29.8	0.51
5/26/21	92	77.1	69	71	67.4	65	93	74.2	42	16	7.4	0	29.8	29.6	29.6	0
5/27/21	85	76.3	68	63	58.3	52	78	55.6	37	14	7.4	0	29.7	29.7	29.6	0.45
5/28/21	73	67.7	61	64	58.4	50	93	73.4	48	13	8	0	29.7	29.5	29.4	0
5/29/21	60	52.7	50	58	49.6	46	96	89.2	77	15	11.2	6	29.8	29.6	29.4	0.74
5/30/21	57	52	50	47	45.7	45	89	79.3	69	15	9.3	0	29.9	29.8	29.8	0.1
5/31/21	73	60	46	51	47.1	44	93	66.4	38	13	5.1	0	30	29.9	29.9	0.02
6/1/21	78	67	52	60	55.4	49	89	68	48	13	6.8	0	29.9	29.9	29.9	0
6/2/21	80	71.3	63	61	59.3	57	84	67	48	14	8.9	5	29.9	29.8	29.8	0
6/3/21	84	73.4	66	69	65.8	60	97	78.1	56	14	8.1	0	29.8	29.7	29.6	0.03
6/4/21	85	74.4	68	68	63.8	55	96	72.2	37	15	7.6	0	29.7	29.6	29.6	0
6/5/21	92	78	63	64	61.6	58	90	60.3	32	13	6.1	0	29.7	29.7	29.6	0
6/6/21	92	81.5	69	69	65	62	78	58.8	41	12	6.2	0	29.8	29.7	29.7	0
6/7/21	89	82.2	72	71	69.4	68	87	66.1	50	12	7.4	3	29.8	29.7	29.7	0
6/8/21	90	81.7	74	72	70	67	90	69.3	46	14	6.1	0	29.8	29.7	29.7	0
6/9/21	86	78.8	72	71	69.2	67	87	73	58	15	5	0	29.7	29.7	29.7	0
6/10/21	86	73.9	0	72	67.6	0	97	79.3	0	17	5.7	0	29.7	28.7	0	0
6/11/21	69	65.9	0	67	63.9	0	97	89.7	0	14	9.3	6	29.6	27.6	0	1.14
